50
564 48 414
458 87 1587
219 13 554
1002 21 450
1530 11 1410
221 61 992
849 29 423
1644 78 317
1108 83 1832
1125 72 688
969 11 7
545 4 556
749 8 1689
1257 94 1008
1354 43 1036
1403 4 1337
711 79 1022
645 70 301
217 74 1106
1695 11 1762
369 6 1187
1033 35 1679
700 57 105
1146 54 37
596 6 46
1673 97 441
1746 77 1513
866 13 814
495 48 1348
1685 62 1718
633 71 787
297 35 618
1174 20 225
441 47 836
1004 57 387
1447 33 397
415 81 1669
425 6 525
457 53 207
647 67 102
448 86 1137
1420 11 1872
502 6 1595
848 97 713
1038 22 524
849 37 0
1074 15 11
381 67 1573
885 29 158
533 39 566
