100
1163 6 2995
2486 47 2758
947 89 3516
950 3 2990
3164 82 959
2638 20 632
2140 26 1986
3215 52 592
3414 42 2235
762 1 1011
1834 92 227
1208 29 3643
3472 9 1546
2069 98 1674
576 94 83
222 75 3404
69 87 920
2183 89 3006
1985 44 2823
798 72 3581
1071 33 756
3104 33 281
3139 83 1960
2406 3 2358
1654 11 3477
514 8 849
145 97 1990
897 33 2871
1836 9 2439
2718 31 1913
566 86 3540
2617 40 2670
2201 80 1343
3041 85 539
1595 57 2918
1139 20 1233
3564 29 1622
2780 14 2236
760 57 2259
369 88 2282
3570 75 2651
2506 42 3557
1912 67 850
449 80 2313
17 35 3244
3592 41 2589
1791 6 585
1702 51 2941
449 20 2945
3215 78 3411
2883 53 2776
228 39 2394
1362 57 2967
3368 26 584
2614 73 3473
3149 8 706
2404 52 3503
810 92 2693
1776 9 68
1350 37 2103
56 71 1932
3448 12 1534
3054 27 3100
3416 79 3409
983 36 2500
3116 91 263
461 21 630
1015 15 1488
3447 65 3294
253 100 2071
404 59 2669
1383 58 2097
1003 91 3027
1962 72 268
1754 24 3031
2569 31 2528
1259 70 3455
2545 2 2412
1106 2 2337
125 3 1743
3539 29 1229
824 11 2674
1801 50 2206
211 80 3234
6 50 1429
1809 68 3582
1635 98 1988
2429 7 2012
3292 58 1320
2229 97 1628
1460 71 1607
1569 13 2221
7 94 2692
1813 38 3418
2217 51 828
3320 3 952
381 17 1004
47 22 2449
1987 50 867
2529 87 614
