50
1753 91 1773
586 63 681
856 45 71
721 24 555
1812 70 186
793 29 184
779 50 1367
264 47 1331
763 67 1308
1006 22 381
545 1 63
922 81 754
970 31 1470
766 100 1091
1292 26 17
1445 18 214
1324 33 651
184 35 1044
1733 2 1131
1420 85 1477
582 24 828
564 11 1502
744 81 360
320 2 1206
1658 58 361
1186 48 898
784 90 320
1658 49 1562
296 40 992
232 56 1439
1492 97 162
670 23 1340
1165 60 611
532 67 1658
1144 19 54
568 48 1745
1165 68 483
874 70 311
464 84 226
732 10 861
1009 79 600
822 5 66
139 47 816
73 63 1693
616 99 522
1448 69 1273
997 86 1777
502 40 551
1397 6 44
1769 60 1466
