100
1084 64 3042
1703 2 2289
1611 96 1011
3278 51 1548
1322 16 2172
2708 27 1695
1472 34 2626
1877 58 2000
1828 30 721
1518 62 950
280 96 3608
3641 30 291
211 65 2654
178 38 1336
3398 74 754
1036 61 1739
3694 53 2476
2112 67 1661
2654 42 3514
1 53 2357
693 90 2099
1006 65 431
351 31 2204
3447 39 880
707 30 332
2486 44 3651
3673 93 2590
3080 92 1486
2434 68 3458
1608 20 3411
1367 77 2884
1074 53 331
312 25 2867
2696 88 3145
160 13 3650
3350 64 2306
3378 7 508
3433 41 2629
2345 68 1793
1936 78 517
155 30 860
1663 50 2392
996 60 2398
3259 34 3592
948 85 564
2036 42 2312
3008 99 837
843 8 3451
1292 35 3454
1951 84 328
560 70 1165
3553 49 898
2220 65 106
1082 91 1985
2012 2 982
61 41 1166
1766 49 1866
2127 97 3116
830 4 612
1574 89 3006
1281 1 1046
2525 75 2013
2833 23 672
345 52 2332
3154 24 1316
1933 41 1054
1637 2 2989
2996 90 3281
3571 53 590
80 13 212
3531 46 1499
3675 21 1774
1522 56 866
262 3 1558
3560 42 2431
1666 36 51
1146 62 1848
3368 72 1553
2200 100 1726
2361 53 2351
3521 21 2523
929 82 2247
2706 46 825
266 52 3656
1598 62 2464
866 59 1060
2636 99 2007
3037 41 1896
2838 9 2851
1720 9 2482
1909 75 1585
2467 25 3268
2332 69 850
670 43 3590
3075 29 966
2226 46 2770
296 10 3357
365 5 1328
3008 40 2606
2285 21 3389
