50
833 65 79
366 98 1706
863 57 1288
361 15 1444
319 20 1097
1234 48 969
877 34 284
798 23 285
1013 57 1294
1156 23 159
1119 59 483
676 92 1338
1216 39 1627
888 10 19
1498 7 76
1678 99 740
293 70 456
1448 97 595
1615 73 1344
1119 66 1135
1366 68 1441
1552 80 1454
1041 46 1462
1599 3 1847
146 73 678
967 16 1461
1632 73 1767
653 56 751
580 75 938
957 99 145
3 33 472
710 13 1589
1456 21 677
1308 84 846
775 4 555
1367 38 1614
1674 88 1450
268 66 778
910 8 1185
1229 15 1418
934 38 837
1799 58 161
1620 18 1561
188 80 1146
530 28 1372
28 20 571
1067 30 1451
1652 24 167
838 63 1260
274 52 1271
